Date,Open,High,Low,Close,Adj Close,Volume
16/12/2003,7.7601,7.7654,7.7559,7.7625,7.7625,0
17/12/2003,7.7631,7.7668,7.7549,7.7631,7.7631,0
18/12/2003,7.7611,7.7704,7.7579,7.7647,7.7647,0
19/12/2003,7.7638,7.7684,7.76,7.763,7.763,0
22/12/2003,7.7644,7.7693,7.7588,7.7616,7.7616,0
23/12/2003,7.7619,7.7662,7.7565,7.7629,7.7629,0
24/12/2003,7.7616,7.7675,7.7613,7.7637,7.7637,0
25/12/2003,7.7619,7.7669,7.7531,7.7638,7.7638,0
26/12/2003,7.7652,7.7675,7.76,7.7624,7.7624,0
29/12/2003,7.764,7.7663,7.7588,7.7611,7.7611,0
30/12/2003,7.7618,7.7669,7.7459,7.7624,7.7624,0
31/12/2003,7.7631,7.7659,7.7512,7.7512,7.7512,0
1/1/2004,7.762,7.7637,7.7511,7.7626,7.7626,0
2/1/2004,7.7607,7.7672,7.7588,7.7672,7.7672,0
5/1/2004,7.7618,7.7656,7.7576,7.7611,7.7611,0
6/1/2004,7.7614,7.766,7.7579,7.7621,7.7621,0
7/1/2004,7.76,7.7658,7.7575,7.7609,7.7609,0
8/1/2004,7.761,7.7656,7.7571,7.763,7.763,0
9/1/2004,7.7618,7.7712,7.7501,7.7611,7.7611,0
12/1/2004,7.7631,7.7663,7.7561,7.7621,7.7621,0
13/1/2004,7.7614,7.7685,7.7567,7.7618,7.7618,0
14/1/2004,7.7636,7.7664,7.756,7.7624,7.7624,0
15/1/2004,7.7635,7.7661,7.758,7.7636,7.7636,0
16/1/2004,7.7627,7.7685,7.7556,7.763,7.763,0
19/1/2004,7.7621,7.7687,7.7576,7.7652,7.7652,0
20/1/2004,7.7625,7.7707,7.7601,7.7681,7.7681,0
21/1/2004,7.7668,7.7725,7.7551,7.7641,7.7641,0
22/1/2004,7.7637,7.7707,7.7603,7.7652,7.7652,0
23/1/2004,7.7658,7.7816,7.7601,7.7816,7.7816,0
26/1/2004,7.7635,7.7692,7.7594,7.7615,7.7615,0
27/1/2004,7.761,7.7684,7.7589,7.7634,7.7634,0
28/1/2004,7.7637,7.7706,7.7575,7.7647,7.7647,0
29/1/2004,7.7669,7.7804,7.7629,7.7732,7.7732,0
30/1/2004,7.7738,7.7809,7.7665,7.7676,7.7676,0
2/2/2004,7.7761,7.7785,7.7638,7.7759,7.7759,0
3/2/2004,7.7741,7.78,7.7703,7.7732,7.7732,0
4/2/2004,7.7728,7.78,7.7703,7.7751,7.7751,0
5/2/2004,7.7741,7.7798,7.7663,7.7731,7.7731,0
6/2/2004,7.7732,7.7759,7.7614,7.7725,7.7725,0
9/2/2004,7.7712,7.7737,7.7547,7.7681,7.7681,0
10/2/2004,7.7683,7.7707,7.7633,7.7674,7.7674,0
11/2/2004,7.7671,7.7748,7.7602,7.7685,7.7685,0
12/2/2004,7.7685,7.7725,7.7625,7.7693,7.7693,0
13/2/2004,7.7687,7.7849,7.7619,7.7736,7.7736,0
16/2/2004,7.7696,7.772,7.7624,7.7688,7.7688,0
17/2/2004,7.7675,7.7719,7.7641,7.7695,7.7695,0
18/2/2004,7.7696,7.7741,7.7637,7.7691,7.7691,0
19/2/2004,7.7696,7.7752,7.7669,7.7732,7.7732,0
20/2/2004,7.7742,7.7762,7.7671,7.7711,7.7711,0
23/2/2004,7.7725,7.7778,7.7705,7.7748,7.7748,0
24/2/2004,7.7752,7.7795,7.7708,7.7772,7.7772,0
25/2/2004,7.777,7.7837,7.7724,7.7809,7.7809,0
26/2/2004,7.781,7.7866,7.7763,7.7836,7.7836,0
27/2/2004,7.7841,7.7892,7.7755,7.7854,7.7854,0
1/3/2004,7.781,7.7857,7.7774,7.7813,7.7813,0
2/3/2004,7.7807,7.7886,7.7798,7.7861,7.7861,0
3/3/2004,7.7861,7.7953,7.7837,7.79,7.79,0
4/3/2004,7.789,7.7958,7.7861,7.7928,7.7928,0
5/3/2004,7.791,7.7936,7.7795,7.7813,7.7813,0
8/3/2004,7.7846,7.7928,7.7803,7.788,7.788,0
9/3/2004,7.7882,7.7936,7.7848,7.7907,7.7907,0
10/3/2004,7.7882,7.7955,7.7848,7.7919,7.7919,0
11/3/2004,7.791,7.7979,7.788,7.7943,7.7943,0
12/3/2004,7.7956,7.7981,7.7882,7.79,7.79,0
15/3/2004,7.7936,7.7957,7.7883,7.7933,7.7933,0
16/3/2004,7.7917,7.7932,7.785,7.791,7.791,0
17/3/2004,7.7916,7.7933,7.7851,7.7886,7.7886,0
18/3/2004,7.7886,7.795,7.7863,7.7915,7.7915,0
19/3/2004,7.7905,7.7947,7.7836,7.7906,7.7906,0
22/3/2004,7.7923,7.7958,7.7874,7.7927,7.7927,0
23/3/2004,7.7928,7.7966,7.7877,7.7935,7.7935,0
24/3/2004,7.7941,7.7978,7.7886,7.795,7.795,0
25/3/2004,7.7935,7.7994,7.7903,7.7972,7.7972,0
26/3/2004,7.7945,7.7996,7.7907,7.7964,7.7964,0
29/3/2004,7.7979,7.7994,7.7903,7.7913,7.7913,0
30/3/2004,7.7942,7.7978,7.788,7.7941,7.7941,0
31/3/2004,7.7925,7.7968,7.7843,7.79,7.79,0
1/4/2004,7.7903,7.7932,7.7815,7.7856,7.7856,0
2/4/2004,7.7847,7.7906,7.7808,7.7843,7.7843,0
5/4/2004,7.7874,7.7919,7.7816,7.7884,7.7884,0
6/4/2004,7.788,7.7978,7.7853,7.7937,7.7937,0
7/4/2004,7.7946,7.7973,7.7894,7.7937,7.7937,0
8/4/2004,7.7953,7.7983,7.7895,7.7954,7.7954,0
9/4/2004,7.7964,7.8076,7.7906,7.7933,7.7933,0
12/4/2004,7.7891,7.8104,7.7855,7.8023,7.8023,0
13/4/2004,7.802,7.8187,7.7872,7.7934,7.7934,0
14/4/2004,7.7935,7.7995,7.7907,7.7967,7.7967,0
15/4/2004,7.796,7.8002,7.7899,7.7964,7.7964,0
16/4/2004,7.7948,7.8025,7.7926,7.7947,7.7947,0
19/4/2004,7.7972,7.8034,7.7905,7.7963,7.7963,0
20/4/2004,7.7948,7.8012,7.7923,7.7987,7.7987,0
21/4/2004,7.7983,7.8024,7.7928,7.7984,7.7984,0
22/4/2004,7.7959,7.8006,7.7904,7.7988,7.7988,0
23/4/2004,7.795,7.8013,7.7916,7.7951,7.7951,0
26/4/2004,7.7982,7.8008,7.7945,7.7985,7.7985,0
27/4/2004,7.799,7.8015,7.7935,7.7991,7.7991,0
28/4/2004,7.7984,7.8012,7.7915,7.7961,7.7961,0
29/4/2004,7.7975,7.8036,7.7835,7.7989,7.7989,0
30/4/2004,7.796,7.8026,7.7928,7.7996,7.7996,0
3/5/2004,7.7942,7.8015,7.7929,7.7975,7.7975,0
4/5/2004,7.7982,7.8042,7.7937,7.7984,7.7984,0
5/5/2004,7.7975,7.8015,7.7944,7.7986,7.7986,0
6/5/2004,7.7982,7.8017,7.793,7.7983,7.7983,0
7/5/2004,7.7965,7.8027,7.7887,7.7971,7.7971,0
10/5/2004,7.799,7.8018,7.7926,7.7983,7.7983,0
11/5/2004,7.796,7.8022,7.7931,7.7964,7.7964,0
12/5/2004,7.7941,7.8038,7.7891,7.7974,7.7974,0
13/5/2004,7.7956,7.8017,7.7892,7.7992,7.7992,0
14/5/2004,7.7981,7.8043,7.7876,7.8043,7.8043,0
17/5/2004,7.7982,7.8062,7.7932,7.7981,7.7981,0
18/5/2004,7.7959,7.8018,7.7943,7.7999,7.7999,0
19/5/2004,7.7979,7.8015,7.7811,7.785,7.785,0
20/5/2004,7.7836,7.7982,7.7815,7.7896,7.7896,0
21/5/2004,7.7872,7.7949,7.7697,7.78,7.78,0
24/5/2004,7.7915,7.7949,7.7829,7.7922,7.7922,0
25/5/2004,7.7914,7.7961,7.788,7.7916,7.7916,0
26/5/2004,7.7909,7.7964,7.7893,7.7938,7.7938,0
27/5/2004,7.7898,7.7969,7.7853,7.7918,7.7918,0
28/5/2004,7.7898,7.7997,7.7876,7.7898,7.7898,0
31/5/2004,7.7931,7.7968,7.7883,7.7922,7.7922,0
1/6/2004,7.7922,7.7992,7.7887,7.7958,7.7958,0
2/6/2004,7.7958,7.8012,7.7893,7.7959,7.7959,0
3/6/2004,7.7953,7.7979,7.7904,7.7951,7.7951,0
4/6/2004,7.792,7.8033,7.786,7.7937,7.7937,0
7/6/2004,7.7959,7.7987,7.7899,7.7946,7.7946,0
8/6/2004,7.7939,7.7987,7.7866,7.7934,7.7934,0
9/6/2004,7.7934,7.7978,7.7902,7.7946,7.7946,0
